-427,-462,-101
-442,-471,-34
-413,-518,72
-389,-528,159
-167,-431,462
11,-286,560
154,-207,570
334,75,528
440,174,443
576,124,343
676,120,165
658,54,-188
605,-43,-283
506,-117,-368
373,-223,-425
213,-328,-441
70,-397,-425
-43,-432,-396
-139,-167,-466
-192,-8,-460
-159,306,-385
-163,478,-251
-222,532,-127
-276,547,30
-352,460,223
-348,357,357
-355,157,462
-419,-162,430
-468,-451,51
-389,-450,-181
-309,-398,-298
-182,-309,-412
4,-335,-448
133,-393,-425
184,-388,-420
338,-452,-339
427,-461,-275
439,-476,-248
484,-483,-194
474,-512,-164
494,-533,-87
497,-545,-34
425,-562,213
382,-530,305
366,-509,344
288,-472,417
169,-470,455
44,-492,451
-37,-479,451
-99,-473,445
-286,-481,349
-436,-394,283
-469,-384,229
-564,-208,193
-606,-58,107
-603,44,37
-507,328,22
-365,477,135
-292,484,249
-252,399,390
-245,148,515
-235,-215,522
-283,-393,424
-279,-594,174
-223,-641,1
-32,-648,-173
147,-556,-303
293,-462,-345
357,-259,-422
352,-36,-454
201,312,-404
48,481,-294
-134,513,-212
-170,553,-108
-394,440,-52
-455,381,-47
-479,365,48
-520,263,194
-542,205,207
-570,182,110
-553,180,-73
-605,3,123
-558,-43,275
-440,9,424
-165,83,558
99,131,572
194,250,524
48,452,416
-67,525,327
-45,599,176
318,486,-208
258,400,-333
189,379,-364
191,413,-342
-71,342,-386
-339,10,-381
-437,-45,-308
-484,-138,-246
-523,-63,-205
-533,-20,-193
-575,-62,-106
-600,-50,-5
-604,-53,88
-599,22,140
-594,-4,159
-592,48,-10
-548,51,-145
-461,-12,-277
-493,-201,-204
-561,-218,-65
-590,-142,-8
-596,-65,-23
-574,26,-107
-537,67,-170
-508,108,-202
-422,233,-253
-364,352,-220
-292,514,-57
-225,487,302
-189,-125,552
-122,-254,545
192,-246,545
275,-503,383
163,-591,330
-105,-670,138
-205,-644,67
-318,-569,-41
-346,-553,-21
-258,-614,75
-177,-640,140
-242,-624,92
-175,-659,35
33,-698,25
214,-643,-150
214,-509,-323
104,-425,-399
-41,-327,-437
-1,-268,-461
-48,-205,-470
-35,-28,-489
371,24,-433
479,-131,-375
518,-152,-347
660,-50,-179
697,53,-32
659,144,160
547,193,330
241,234,506
55,104,572
-99,26,572
-224,-56,541
-180,10,555
-399,-42,448
-526,-148,297
-588,-167,58
-597,-135,72
-596,-106,120
-562,34,242
-553,61,255
-565,106,216
-586,94,144
-538,193,-97
-461,197,-224
-428,227,-249
-401,238,-267
-397,24,-340
-361,-238,-336
-348,-503,-149
-364,-519,-87
-385,-529,25
-438,-467,128
-514,-364,104
-495,-346,-103
-338,-269,-337
-322,-387,-286
-29,-642,-173
48,-601,-249
84,-315,-454
48,283,-428
82,373,-375
3,420,-338
87,532,-221
181,493,-252
228,483,-249
238,494,-234
219,512,-220
266,549,-113
270,570,-48
260,573,-8
228,588,44
205,597,51
171,603,64
179,599,78
330,545,-11
363,525,-50
344,531,-48
370,527,19
428,475,137
405,443,247
308,455,319
52,316,502
31,327,494
81,352,477
162,395,437
133,385,453
42,368,471
-151,278,492
-261,193,488
-348,83,473
-448,103,388
-496,136,319
-578,147,108
-563,199,67
-499,279,-85
-296,424,-208
-70,415,-335
227,345,-373
428,397,-227
481,395,-167
524,406,-28
531,394,118
413,420,283
280,408,389
168,367,455
-145,401,421
-332,377,334
-474,322,209
-508,305,123
-575,110,-35
-583,-59,-68
-558,-223,-64
-463,-422,177
-463,-388,229
-511,-371,98
-561,-269,53
-591,-142,126
-587,-147,151
-581,-59,205
-596,25,134
-593,50,148
-594,23,148
-569,-22,236
-386,-64,456
-322,-46,498
-396,-165,437
-286,-522,290
-161,-652,124
-125,-664,124
-47,-685,-33
-114,-672,-28
3,-692,133
138,-692,136
319,-609,220
433,-505,274
552,-412,234
595,-340,231
609,-272,259
635,-129,277
685,-103,177
694,-217,32
700,-200,34
690,-232,18
664,-305,6
662,-282,-66
628,-272,-173
410,-423,-309
384,-574,-156
173,-637,-181
-58,-621,-204
-181,-600,-171
-414,-488,-58
-479,-415,-19
-520,-346,-30
-554,-294,85
-573,-235,121
-575,142,159
-593,113,100
-547,36,-159
-504,21,-232
-297,55,-403
50,-115,-498
205,-246,-464
204,-315,-444
212,-575,-270
153,-676,-109
115,-703,19
115,-684,164
196,-651,221
236,-641,224
256,-616,257
300,-632,196
374,-322,456
439,61,464
569,117,343
672,63,186
685,132,-8
637,129,-172
584,13,-286
528,408,-4
462,71,450
341,-357,454
